workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W2090,EC-4-3,EC-2-2,4,3,0,0,546.2248908995207,550.61497813352,4.390087233999338,"EC-2-2,EC-3-2,EC-4-2"
W2094,EC-3-2,EC-3-2,1,3,1,1,483.38429890018233,483.38429890018233,0.0,"EC-3-2,EC-4-3,EC-2-2"
W2096,EC-3-2,EC-3-2,1,3,1,1,791.5394552012003,791.5394552012003,0.0,"EC-3-2,EC-4-2,EC-2-2"
W2097,EC-2-2,EC-2-2,1,3,1,1,443.071806950843,443.071806950843,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2098,EC-2-2,EC-2-2,1,3,1,1,408.06360914378143,408.06360914378143,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2112,EC-2-2,EC-3-2,2,3,1,0,196.5363824990618,261.3962235013787,64.8598410023169,"EC-3-2,EC-2-2,EC-4-3"
W2113,EC-2-2,EC-2-2,1,3,1,1,149.89360200024748,149.89360200024748,0.0,"EC-2-2,EC-4-2,EC-4-3"
W2114,EC-2-2,EC-2-2,1,3,1,1,144.56851800059667,144.56851800059667,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2115,EC-4-3,EC-2-2,4,3,0,0,210.92303400291712,507.7412309997271,296.81819699681,"EC-2-2,EC-4-2,EC-3-2"
W2124,EC-4-2,EC-2-2,2,3,1,0,202.17118200162076,546.38651400046,344.21533199883925,"EC-2-2,EC-4-2,EC-3-2"
W2125,EC-3-2,EC-3-2,1,3,1,1,157.6125569999931,157.6125569999931,0.0,"EC-3-2,EC-2-2,EC-4-2"
W2133,EC-2-2,EC-4-2,3,3,1,0,163.73941649999324,197.6044279999769,33.865011499983666,"EC-4-2,EC-3-2,EC-2-2"
W2145,EC-3-2,EC-3-2,1,3,1,1,236.68390850070864,236.68390850070864,0.0,"EC-3-2,EC-5-3,EC-6-3"
W2152,EC-3-2,EC-3-2,1,3,1,1,201.65684300218345,201.65684300218345,0.0,"EC-3-2,EC-2-2,EC-4-2"
W2154,EC-2-2,EC-2-2,1,3,1,1,252.06523350038879,252.06523350038879,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2156,EC-3-2,EC-2-2,2,3,1,0,200.02194299968323,568.3968674993594,368.3749244996761,"EC-2-2,EC-3-2,EC-4-2"
W2164,EC-4-2,EC-3-2,3,3,1,0,175.3288743345062,453.5872379992725,278.2583636647663,"EC-3-2,EC-2-2,EC-4-2"
W2165,EC-5-3,EC-2-2,5,3,0,0,232.19902183276037,814.5510689996627,582.3520471669024,"EC-2-2,EC-4-2,EC-3-2"
W2167,EC-2-2,EC-2-2,1,3,1,1,250.39026049898894,250.39026049898894,0.0,"EC-2-2,EC-3-2,EC-8-4"
W2168,EC-7-3,EC-2-2,2,3,1,0,431.4137506656455,464.0390828346881,32.625332169042565,"EC-2-2,EC-7-3,EC-5-3"
W2175,EC-3-2,EC-3-2,1,3,1,1,421.467170999828,421.467170999828,0.0,"EC-3-2,EC-10-4,EC-2-2"
W2176,EC-2-2,EC-2-2,1,3,1,1,269.76716766618364,269.76716766618364,0.0,"EC-2-2,EC-4-2,EC-5-3"
W2177,EC-2-2,EC-2-2,1,3,1,1,279.104317834405,279.104317834405,0.0,"EC-2-2,EC-4-3,EC-8-3"
W2179,EC-3-2,EC-3-2,1,3,1,1,299.6651683354988,299.6651683354988,0.0,"EC-3-2,EC-4-2,EC-2-2"
W2187,EC-4-2,EC-3-2,3,3,1,0,278.1472019996727,864.0707513335049,585.9235493338322,"EC-3-2,EC-2-2,EC-4-2"
W2191,EC-4-2,EC-2-2,2,3,1,0,179.76664525212982,313.4914185003481,133.7247732482183,"EC-2-2,EC-4-2,EC-3-2"
W2207,EC-2-2,EC-2-2,1,3,1,1,288.6646049173578,288.6646049173578,0.0,"EC-2-2,EC-3-2,EC-4-3"
W2214,EC-3-2,EC-3-2,1,3,1,1,328.08954225242815,328.08954225242815,0.0,"EC-3-2,EC-2-2,EC-4-2"
W2220,EC-3-2,EC-3-2,1,3,1,1,390.0909445017078,390.0909445017078,0.0,"EC-3-2,EC-2-2,EC-8-4"
W2226,EC-2-2,EC-2-2,1,3,1,1,257.8431554994495,257.8431554994495,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2231,EC-2-2,EC-3-2,2,3,1,0,352.8003011500914,630.1556193320721,277.3553181819807,"EC-3-2,EC-2-2,EC-4-3"
W2234,EC-3-2,EC-2-2,2,3,1,0,299.5797827674627,308.4094983018076,8.829715534344928,"EC-2-2,EC-3-2,EC-4-2"
W2235,EC-3-2,EC-3-2,1,3,1,1,409.8502956484026,409.8502956484026,0.0,"EC-3-2,EC-4-3,EC-8-3"
W2237,EC-2-2,EC-2-2,1,3,1,1,287.528525500511,287.528525500511,0.0,"EC-2-2,EC-6-3,EC-8-4"
W2244,EC-2-2,EC-2-2,1,3,1,1,398.0223896006464,398.0223896006464,0.0,"EC-2-2,EC-4-2,EC-5-3"
W2255,EC-3-2,EC-3-2,1,3,1,1,317.49757166790005,317.49757166790005,0.0,"EC-3-2,EC-2-2,EC-5-3"
W2257,EC-5-3,EC-3-2,5,3,0,0,279.17525433561724,605.8113699984157,326.63611566279843,"EC-3-2,EC-4-2,EC-2-2"
W2269,EC-4-2,EC-4-2,1,3,1,1,324.23754383413933,324.23754383413933,0.0,"EC-4-2,EC-2-2,EC-3-2"
W2273,EC-2-2,EC-2-2,1,3,1,1,420.95852866816585,420.95852866816585,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2276,EC-2-2,EC-2-2,1,3,1,1,323.44387016708725,323.44387016708725,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2285,EC-2-2,EC-2-2,1,3,1,1,343.8902492857258,343.8902492857258,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2291,EC-2-2,EC-3-2,2,3,1,0,250.40591683218088,678.5211270483246,428.11521021614374,"EC-3-2,EC-2-2,EC-4-2"
W2292,EC-2-2,EC-2-2,1,3,1,1,771.0599181428149,771.0599181428149,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2298,EC-2-2,EC-2-2,1,3,1,1,372.1195921422285,372.1195921422285,0.0,"EC-2-2,EC-8-3,EC-4-2"
W2304,EC-2-2,EC-2-2,1,3,1,1,348.68580014251296,348.68580014251296,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2308,EC-3-2,EC-3-2,1,3,1,1,455.57783735616147,455.57783735616147,0.0,"EC-3-2,EC-2-2,EC-6-3"
W2316,EC-2-2,EC-2-2,1,3,1,1,410.32833599928153,410.32833599928153,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2317,EC-3-2,EC-3-2,1,3,1,1,205.53846625148253,205.53846625148253,0.0,"EC-3-2,EC-2-2,EC-4-2"
W2324,EC-5-3,EC-4-3,2,3,1,0,400.3937362542729,409.9007663746761,9.507030120403215,"EC-4-3,EC-5-3,EC-2-2"
W2331,EC-4-3,EC-2-2,4,3,0,0,450.04250000147294,965.4219968745565,515.3794968730836,"EC-2-2,EC-3-2,EC-4-2"
W2333,EC-8-3,EC-4-2,8,3,0,0,565.8579041288856,750.7889730017041,184.9310688728185,"EC-4-2,EC-2-2,EC-3-2"
W2343,EC-4-2,EC-4-2,1,3,1,1,625.2716538328968,625.2716538328968,0.0,"EC-4-2,EC-5-3,EC-4-3"
W2359,EC-4-2,EC-4-2,1,3,1,1,441.28526994467796,441.28526994467796,0.0,"EC-4-2,EC-3-2,EC-7-3"
W2367,EC-2-2,EC-2-2,1,3,1,1,445.82698261140445,445.82698261140445,0.0,"EC-2-2,EC-4-3,EC-3-2"
W2371,EC-3-2,EC-2-2,2,3,1,0,402.0036865027578,541.9637566997153,139.96007019695753,"EC-2-2,EC-3-2,EC-4-2"
W2373,EC-3-2,EC-3-2,1,3,1,1,274.8485998983142,274.8485998983142,0.0,"EC-3-2,EC-4-2,EC-7-3"
