workload_id,policy_name,file_size_mb,num_objects,concurrency,read_ratio,failure_state,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,payload_bytes,data_disks_used_pct_before,mem_available_kb_before,load1_before,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,reconstruction_time_ms
W0007,EC-8-3,0.015625,1,2,0.0,1,0.015625,0.0,0.015625,0.0078125,0.03125,16384,66.69609871152907,1778504,16.38,0.0,7,10596,0,0.0,26.0,18.0,236.0,176.0,552.0,1,1,d1,0.4984538555145263,217.5555430003442,217.5555430003442,22.63663799749338,22.63663799749338,23.198737999337027
W0007,EC-8-4,0.015625,1,2,0.0,1,0.015625,0.0,0.015625,0.0078125,0.03125,16384,69.14431343342173,1716760,21.37,0.0,5,9264,0,0.0,54.0,22.0,304.0,364.0,1009.0,1,1,d1,0.5196554660797119,210.68096499948297,210.68096499948297,27.7436040014436,27.7436040014436,28.21231200141483
W0009,EC-10-4,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,71.46731497313142,1493096,24.38,0.0,3,5716,0,0.0,60.0,545.0,440.0,824.0,12261.0,1,1,d1,0.4476995468139648,72.16139899901464,72.16139899901464,61.865114999818616,61.865114999818616,63.14486900009797
W0009,EC-2-2,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,49.668650278717976,2369280,9.89,0.0,3,4120,0,0.0,9.0,31.0,236.0,360.0,703.0,1,1,d1,0.3088781833648681,29.57557599984284,29.57557599984284,12.051214999701187,12.051214999701187,12.706843999694684
W0009,EC-3-2,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,52.279338720863294,2383396,9.97,0.0,1,9644,0,0.0,6.0,16.0,40.0,0.0,277.0,1,1,d1,0.3394875526428222,76.86313600061112,76.86313600061112,14.214406000064628,14.214406000064628,14.659022000159894
W0009,EC-4-2,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,54.64103473506526,2366944,7.87,0.0,6,12216,68,0.0,20.0,27.0,276.0,548.0,680.0,1,1,d1,0.3046958446502685,39.365171999634185,39.365171999634185,13.481279999723483,13.481279999723483,13.964774000669422
W0009,EC-4-3,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,57.23409611844861,2225316,13.22,0.0,2,7148,0,0.0,14.0,11.0,212.0,332.0,365.0,1,1,d1,0.5059523582458496,236.85784900044385,236.85784900044385,17.05428000059328,17.05428000059328,18.02406900060305
W0009,EC-5-3,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,59.69858847224161,2015648,11.49,0.0,3,7728,0,0.0,10.0,29.0,192.0,168.0,299.0,1,1,d1,0.3563027381896972,48.7602639987017,48.7602639987017,21.46725599959609,21.46725599959609,21.91222300098161
W0009,EC-6-3,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,62.08865925308815,1956136,15.91,0.0,4,9612,0,0.0,15.0,54.0,204.0,252.0,723.0,1,1,d1,0.3582258224487304,59.24437200155808,59.24437200155808,35.04235800028255,35.04235800028255,35.50871200059191
W0009,EC-7-3,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,64.37162506978855,1903772,15.58,0.0,1,10560,0,0.0,45.0,32.0,244.0,172.0,674.0,1,1,d1,0.3371539115905761,49.57004000061716,49.57004000061716,16.540767999686068,16.540767999686068,17.075763000320876
W0009,EC-8-3,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,66.69612460962036,1780212,16.38,0.0,1,10636,0,0.0,43.0,31.0,236.0,324.0,668.0,1,1,d1,0.5043668746948242,207.2133239998948,207.2133239998948,17.733846998453373,17.733846998453373,18.071709000651023
W0009,EC-8-4,0.015625,1,2,0.4,1,0.015625,0.00625,0.009375,0.0078125,0.03125,16384,69.14426708946891,1715976,21.37,0.0,2,9688,0,0.0,49.0,270.0,396.0,428.0,5813.0,1,1,d1,0.5697221755981445,268.5059549985453,268.5059549985453,45.79669200029457,45.79669200029457,46.72219500207575
